Name,Handynummer,Gezeichnet
Heiligenberg,+43727722930,0
Helfenberg,+4372167013,0
Hellmonsödt,+4372152255,0
Helpfau-Uttendorf,+4377242016,0
Herzogsdorf,+437231225520,0
Hinterstoder,+43756452550,0
Hinzenbach,+4372722460,0
Hirschbach im Mühlkreis,+43794887010,0
Hochburg-Ach,+4377272255,0
Hofkirchen an der Trattnach,+4377342255,0
Hofkirchen im Mühlkreis,+43728570110,0
Hofkirchen im Traunkreis,+4372257272,0
Hohenzell,+43775285715,0
Höhnhart,+4377555115,0
Holzhausen,+43724357155,0
Hörbich,+4372868255,0
Hörsching,+43722172155,0
Innerschwand am Mondsee,+4362322265,0
Inzersdorf im Kremstal,+43758281518,0
Jeging,+4377446209,0
Julbach,+4372888155,0
Kallham,+4377337355,0
Kaltenberg,+4379567305,0
Katsdorf,+4372358815510,0
Kefermarkt,+4379475910,0
Kematen am Innbach,+4372476655,0
Kematen an der Krems,+4372287255,0
Kirchberg bei Mattighofen,+4377474002,0
Kirchberg ob der Donau,+4372824601,0
Kirchberg-Thening,+43722163003,0
Kirchdorf am Inn,+4377582815,0
Kirchdorf an der Krems,+43758262238,0
Kirchham,+4376192015,0
Kirchheim im Innkreis,+4377556415,0
Kirchschlag bei Linz,+4372152285,0
Klaffer am Hochficht,+43728870260,0
Klam,+4372697255,0
Klaus an der Pyhrnbahn,+437585255,0
Kleinzell im Mühlkreis,+43728253550,0
Kollerschlag,+4372878155,0
Königswiesen,+43795562550,0
Kopfing im Innkreis,+4377632205,0
Kremsmünster,+4375835255,0
Krenglbach,+43724946013,0
Kronstorf,+437225825610,0
Laakirchen,+43761386440,0
Lambach,+437245283550,0
Lambrechten,+437765215,0
Langenstein,+4372372370,0
Lasberg,+43794772550,0
Laussa,+4372557255,0
Lembach im Mühlkreis,+4372868255,0
Lengau,+4377462202,0
Lenzing,+43767292955,0
Leonding,+4373268780,0
Leopoldschlag,+43794982550,0
Lichtenau im Mühlkreis,+437289715550,0
Lichtenberg,+4372396708,0
Liebenau,+43795381110,0
Linz,+4373270700,0
Lochen am See,+4377458255,0
Lohnsburg am Kobernaußerwald,+43775441100,0
Losenstein,+43725560000,0
Luftenberg an der Donau,+4372372231,0
Manning,+43767672750,0
Marchtrenk,+4372435520,0
Maria Neustift,+437250625,0
Maria Schmolln,+4377432255,0
Mattighofen,+43774222550,0
Mauerkirchen,+4377242855,0
Mauthausen,+43723822550,0
Mayrhof,+437767215,0
Meggenhofen,+4372477110,0
Mehrnbach,+437752822030,0
Mettmach,+4377557255,0
Michaelnbach,+4372772555,0
Micheldorf in Oberösterreich,+437582612500,0
Mining,+4377237055,0
Mitterkirchen im Machland,+43726982550,0
Molln,+4375842255,0
Mondsee,+43623222030,0
Moosbach,+4377242857,0
Moosdorf,+43774826660,0
Mörschwang,+4377582266,0
Mühlheim am Inn,+43772342955,0
Munderfing,+4377446255,0
Münzbach,+4372644555,0
Münzkirchen,+4377167255,0
Naarn im Machlande,+43726258255,0
Natternbach,+43727882550,0
Nebelberg,+4372877640,0
Neufelden,+4372826255,0
Neuhofen an der Krems,+4372274255,0
Neuhofen im Innkreis,+43775282155,0
Neukirchen am Walde,+4372783255,0
Neukirchen an der Enknach,+43772922550,0
Neukirchen an der Vöckla,+4376827155,0
Neukirchen bei Lambach,+43724527055,0
Neumarkt im Hausruckkreis,+4377337254,0
Neumarkt im Mühlkreis,+43794182550,0
Neustift im Mühlkreis,+4372848155,0
Niederkappel,+4372868555,0
Niederneukirchen,+4372247155,0
Niederthalheim,+4376737055,0
Niederwaldkirchen,+4372312515,0
Nußbach,+437587825514,0
Nußdorf am Attersee,+4376668055,0
Oberhofen am Irrsee,+43621382150,0
Oberkappel,+4372842020,0
Obernberg am Inn,+43775822550,0
Oberndorf bei Schwanenstadt,+4376732356,0
Oberneukirchen,+4372127055,0
Oberschlierbach,+43758262019,0
Obertraun,+436131342,0
Oberwang,+4362338217,0
Oepping,+4372898235,0
Offenhausen,+4372476155,0
Oftering,+43722163541,0
Ohlsdorf,+437612472550,0
Ort im Innkreis,+4377518314,0
Ostermiething,+4362786255,0
Ottenschlag im Mühlkreis,+43721182550,0
Ottensheim,+43723482255,0
Ottnang am Hausruck,+4376767255,0
Pabneukirchen,+4372655255,0
Palting,+4362177124,0
Pasching,+43722188515,0
Pattigham,+4377548455,0
Peilstein im Mühlviertel,+4372877203,0
Pennewang,+43724526155,0
Perg,+437262522550,0
Perwang am Grabensee,+4362178247,0
Peterskirchen,+43775034130,0
Pettenbach,+43758681550,0
Peuerbach,+4372762255,0
Pfaffing,+4376826355,0
Pfaffstätt,+4377422355,0
Pfarrkirchen bei Bad Hall,+4372582433,0
Pfarrkirchen im Mühlkreis,+437285415,0
Piberbach,+4372288214,0
Pichl bei Wels,+43724785550,0
Pierbach,+4372678255,0
Pilsbach,+43767272240,0
Pinsdorf,+43761263955,0
Pischelsdorf am Engelbach,+43774274150,0
Pitzenberg,+4376732445,0
Pollham,+43724868712,0
Polling im Innkreis,+4377236505,0
Pöndorf,+4376847113,0
Pötting,+4377337285,0
Pram,+4377366255,0
Prambachkirchen,+43727723020,0
Pramet,+4377548450,0
Pregarten,+43723622550,0
Puchenau,+437322210550,0
Puchkirchen am Trattberg,+4376827228,0
Pucking,+43722988911,0
Pühret,+4376732445,0
Pupping,+4372722331,0
Putzleinsdorf,+43728682760,0
Raab,+4377622255,0
Rainbach im Innkreis,+4377168013,0
Rainbach im Mühlkreis,+43794962550,0
Rechberg,+4372644655,0
Redleiten,+4376838355,0
Redlham,+43767462279,0
Regau,+43767223102,0
Reichenau im Mühlkreis,+43721182550,0
Reichenthal,+4372147007,0
Reichersberg,+4377582315,0
Reichraming,+4372556600,0
Ried im Innkreis,+4377529010,0
Ried im Traunkreis,+4375887255,0
Ried in der Riedmark,+4372382055,0
Riedau,+4377648255,0
Rohr im Kremstal,+4372582207,0
Rohrbach-Berg,+4372896255,0
Roitham am Traunfall,+43761351550,0
Rosenau am Hengstpaß,+437566255,0
Roßbach,+4377248110,0
Roßleithen,+4375625230,0
Rottenbach,+4377322755,0
Rüstorf,+4376732455,0
Rutzenham,+4376732445,0
Sandl,+4379448255,0
Sarleinsbach,+4372838255,0
Sattledt,+43724488550,0
Saxen,+437269355,0
Schalchen,+4377422555,0
Schardenberg,+4377137055,0
Schärding,+4377123154,0
Scharnstein,+4376152255,0
Scharten,+4372725255,0
Schenkenfelden,+4372147005,0
Schiedlberg,+437251255,0
Schildorn,+4377548030,0
Schlatt,+4376732355,0
Schleißheim,+437242424200,0
Schlierbach,+43758281255,0
Schlüßlberg,+437248660660,0
Schönau im Mühlkreis,+4372617255,0
Schörfling am Attersee,+43766232550,0
Schwand im Innkreis,+4377287010,0
Schwanenstadt,+4376732255,0
Schwarzenberg am Böhmerwald,+4372802550,0
Schwertberg,+43726261155,0
Seewalchen am Attersee,+43766244910,0
Senftenbach,+4377518245,0
Sierning,+4372592255,0
Sigharting,+4377662405,0
Sipbachzell,+437240815515,0
Sonnberg im Mühlkreis,+4372126565,0
Spital am Pyhrn,+437563255,0
St. Aegidi,+4377177355,0
St. Agatha,+43727782550,0
St. Florian,+4372244255,0
St. Florian am Inn,+4377123021,0
St. Georgen am Fillmannsbach,+4377488075,0
St. Georgen am Walde,+4379543030,0
St. Georgen an der Gusen,+4372372255,0
St. Georgen bei Grieskirchen,+43724862463,0
St. Georgen bei Obernberg am Inn,+4377582355,0
St. Georgen im Attergau,+4376676255,0
St. Gotthard im Mühlkreis,+43723487055,0
St. Johann am Walde,+4377438600,0
St. Johann am Wimberg,+4372177155,0
St. Konrad,+4376158029,0
St. Leonhard bei Freistadt,+4379528255,0
St. Lorenz,+4362322265,0
St. Marien,+4372278155,0
St. Marienkirchen am Hausruck,+4377532812,0
St. Marienkirchen an der Polsenz,+437249471120,0
St. Marienkirchen bei Schärding,+43771122540,0
St. Martin im Innkreis,+43775182550,0
St. Martin im Mühlkreis,+43723221050,0
St. Nikola an der Donau,+4372688155,0
St. Oswald bei Freistadt,+4379457255,0
St. Oswald bei Haslach,+437289715550,0
St. Pankraz,+4375652450,0
St. Pantaleon,+4362777990,0
St. Peter am Hart,+43772262843,0
St. Peter am Wimberg,+437282805515,0
St. Radegund,+43627820055,0
St. Roman,+4377167359,0
St. Stefan-Afiesl,+43721670100,0
St. Thomas,+4372777212,0
St. Thomas am Blasenstein,+4372655455,0
St. Ulrich bei Steyr,+437252533030,0
St. Ulrich im Mühlkreis,+4372826213,0
St. Veit im Innkreis,+4377236113,0
St. Veit im Mühlkreis,+4372176055,0
St. Willibald,+4377622815,0
St. Wolfgang im Salzkammergut,+43613823120,0
Stadl-Paura,+43724528011,0
Steegen,+43727623010,0
Steinbach am Attersee,+4376632550,0
Steinbach am Ziehberg,+4375827255,0
Steinbach an der Steyr,+4372577203,0
Steinerkirchen an der Traun,+43724122550,0
Steinhaus,+43724227455,0
Steyr,+437252575,0
Steyregg,+43732640155,0
Straß im Attergau,+4376677112,0
Stroheim,+4372726255,0
Suben,+4377112255,0
Taiskirchen im Innkreis,+43776482570,0
Tarsdorf,+4362788103,0
Taufkirchen an der Pram,+4377197255,0
Taufkirchen an der Trattnach,+4377344010,0
Ternberg,+4372566001,0
Thalheim bei Wels,+437242470740,0
Tiefgraben,+4362322265,0
Timelkam,+437672951050,0
Tollet,+437248624012,0
Tragwein,+43726386055,0
Traun,+4372296880,0
Traunkirchen,+4376172255,0
Treubach,+4377248055,0
Tumeltsham,+43775282255,0
Überackern,+4377272912,0
Ulrichsberg,+4372887031,0
Ungenach,+4376728012,0
Unterach am Attersee,+4376658255,0
Unterweißenbach,+43795672550,0
Unterweitersdorf,+43723563014,0
Utzenaich,+43775182720,0
Vichtenstein,+4377148055,0
Vöcklabruck,+4376727600,0
Vöcklamarkt,+43768226550,0
Vorchdorf,+4376146555,0
Vorderstoder,+4375648255,0
Vorderweißenbach,+4372196055,0
Waizenkirchen,+4372772255,0
Waldburg,+4379428300,0
Waldhausen im Strudengau,+4372604505,0
Walding,+43723482302,0
Waldkirchen am Wesen,+43771872550,0
Waldneukirchen,+4372583812,0
Waldzell,+4377542255,0
Wallern an der Trattnach,+437249481260,0
Wartberg an der Krems,+43758770550,0
Wartberg ob der Aist,+4372363700,0
Weibern,+4377322555,0
Weilbach,+4377576355,0
Weißenkirchen im Attergau,+4376846355,0
Weißkirchen an der Traun,+437243561550,0
Weitersfelden,+43795262550,0
Wels,+4372422350,0
Wendling,+43773661910,0
Weng im Innkreis,+4377235055,0
Wernstein am Inn,+43771370000,0
Weyer,+4373556255,0
Weyregg am Attersee,+43766422550,0
Wilhering,+4372262255,0
Windhaag bei Freistadt,+4379436111,0
Windhaag bei Perg,+4372644255,0
Windischgarsten,+43756252550,0
Wippenham,+4377576614,0
Wolfern,+4372538255,0
Wolfsegg am Hausruck,+4376767355,0
Zell am Moos,+4362348215,0
Zell am Pettenfirst,+4376752355,0
Zell an der Pram,+4377648355,0
Zwettl an der Rodl,+4372126555,0
