name,street,pzl,tel,fax,email
Ampflwang im Hausruckwald,Hausruckstraße 12,4843 Ampflwang im Hausruckwald,+43 7675 / 4010,+437675 / 4010 - 19,marktgemeinde@ampflwang.ooe.gv.at
Andorf,Hauptstraße 32,4770 Andorf,+43 7766 / 2255,+437766 / 2257,gemeinde@andorf.ooe.gv.at
Andrichsfurt,Andrichsfurt 40,4754 Andrichsfurt,+43 7750 / 3213,+437750 / 3213 - 4,gemeinde@andrichsfurt.ooe.gv.at
Ansfelden,Hauptplatz 41,4053 Ansfelden,+43 7229 / 840 - 0,+437229 / 840 - 556,stadtamt@ansfelden.at
Antiesenhofen,Ortsplatz 1,4980 Antiesenhofen,+43 7759 / 5255,+437759 / 5255 - 22,gemeinde@antiesenhofen.ooe.gv.at
Arbing,Hauptstraße 39,4341 Arbing,+43 7269 / 375,,gemeinde@arbing.ooe.gv.at
Arnreit,Arnreit 13,4122 Arnreit,+43 7282 / 7013,+437282 / 7013 - 20,gemeinde@arnreit.at
Aschach an der Donau,Abelstraße 44,4082 Aschach an der Donau,+43 7273 / 6355,+437273 / 6355- 17,gemeinde@aschach-donau.ooe.gv.at
Aschach an der Steyr,Hauptstraße 27,4421 Aschach an der Steyr,+43 7259 / 3412 - 0,+437259 / 3412 - 8,gemeinde@aschach-steyr.ooe.gv.at
Aspach,Marktplatz 9,5252 Aspach,+43 7755 / 7355,+437755 / 7355 - 4,info@aspach.at
Asten,Marktplatz 2,4481 Asten,+43 7224 / 66381 - 0,+437224 / 66381 - 11,gemeinde@asten.ooe.gv.at
Attersee am Attersee,Nußdorferstraße 15,4864 Attersee,+43 7666 / 7755,+437666 / 7755 - 77,gemeinde@attersee.ooe.gv.at
Attnang-Puchheim,Rathausplatz 9,4800 Attnang-Puchheim,+43 7674 / 615 - 0,+437674 / 615 - 44,stadtamt@attnang-puchheim.ooe.gv.at
Atzbach,Am Ortsplatz 3,4904 Atzbach,+43 7676 / 8415,+437676 / 8415 - 75,gemeinde@atzbach.ooe.gv.at
Atzesberg,Marktplatz 4,4152 Sarleinsbach,+43 7283 / 8255,+437283 / 8255 - 50,atzesberg@sarleinsbach.at
Auberg,Hollerberg 9,4171 Auberg,+43 7282 / 7900,,gemeinde@auberg.ooe.gv.at
Auerbach,Auerbach 2,5224 Auerbach,+43 7747 / 5215,+437747 / 5215 - 6,gemeinde@auerbach.ooe.gv.at
Aurach am Hongar,Aurach am Hongar 2,4861 Schörfling,+43 7662 / 6311,+437662 / 6311-5,gemeinde@aurach.ooe.gv.at
Aurolzmünster,Schloßstraße 1,4971 Aurolzmünster,+43 7752 / 83055,+437752 / 83055 -20,gemeinde@aurolzmuenster.ooe.gv.at
Bachmanning,Dorfplatz 5,4672 Bachmanning,+43 7735 / 6655,,gemeinde@bachmanning.ooe.gv.at
Bad Goisern am Hallstättersee,Untere Marktstraße 1,4822 Bad Goisern am Hallstättersee,+43 6135 / 8301 - 0,+436135 / 8301 - 30,gemeinde@bad-goisern.ooe.gv.at
Bad Hall,Hauptplatz 5,4540 Bad Hall,+43 7258 / 77 55 - 0,+437258 / 7755 - 17,gemeinde@bad-hall.ooe.gv.at
Bad Ischl,Pfarrgasse 11,4820 Bad Ischl,+43 6132 / 301 - 0,+436132 / 301 - 11,info@stadtamt-badischl.at
Bad Kreuzen,Bad Kreuzen 20a,4362 Bad Kreuzen,+43 7266 / 6255,,gemeindeamt@bad-kreuzen.at
Bad Leonfelden,Hauptplatz 1,4190 Bad Leonfelden,+43 7213 / 6565,,gemeinde@bad-leonfelden.ooe.gv.at
Bad Schallerbach,Rathausplatz 1,4701 Bad Schallerbach,+43 7249 / 48 5 55,+437249 / 48 5 55 - 22,gemeinde@bad-schallerbach.at
Bad Wimsbach-Neydharting,Markt 1,4654 Bad Wimsbach-Neydharting,+43 7245 / 25 0 55 - 0,+437245 / 25 0 55 - 10,gemeinde@bad-wimsbach.ooe.gv.at
Bad Zell,Marktplatz 8,4283 Bad Zell,+43 7263 / 7255,+437263 / 7255 - 21,gemeinde@bad-zell.ooe.gv.at
Baumgartenberg,Baumgartenberg 85,4342 Baumgartenberg,+43 7269 / 255,+437269/ 255 - 5,gemeinde@baumgartenberg.ooe.gv.at
Berg im Attergau,Attergaustraße 36,4880 St. Georgen im Attergau,+43 7667 / 6445,+437667 / 6445 - 4,gemeinde@berg-attergau.ooe.gv.at
Braunau am Inn,Stadtplatz 38,5280 Braunau am Inn,+43 7722 / 808 - 0,"+43 7722 / 808-100, 808-101",rathaus@braunau.ooe.gv.at
Brunnenthal,Dorfplatz 3,4786 Brunnenthal,+43 7712 / 3055,+437712 / 3055 - 20,gemeinde@brunnenthal.at
Buchkirchen,Hauptstraße 11,4611 Buchkirchen,+43 7242 / 28 0 05,+437242 / 28 0 05 - 81,gemeinde@buchkirchen.ooe.gv.at
Burgkirchen,Kirchenplatz 1,5274 Burgkirchen,+43 7724 / 2212,+437724 / 2212 - 8,gemeinde@burgkirchen.ooe.gv.at
Desselbrunn,Desselbrunn 37,4693 Desselbrunn,+43 7673 / 3713,+437673 / 3713 - 20,gemeinde@desselbrunn.ooe.gv.at
Diersbach,Am Berg 5,4776 Diersbach,+43 7719 / 7205,,gemeinde@diersbach.ooe.gv.at
Dietach,Kirchenplatz 6,4407 Dietach,+43 7252 / 38 0 01,+437252 / 38 0 01 - 33,gemeinde@dietach.ooe.gv.at
Dimbach,Dimbach 2,4371 Dimbach,+43 7260 / 7507,+437260 / 7507 - 16,marktgemeinde@dimbach.ooe.gv.at
Dorf an der Pram,Dorf 11,4751 Dorf an der Pram,+43 7764 / 8455,+437764 / 8455 - 30,gemeinde@dorf.ooe.gv.at
Ebensee am Traunsee,Hauptstraße 34,4802 Ebensee am Traunsee,+43 6133 / 7051,+436133 / 5624,gemeinde@ebensee.ooe.gv.at
Eberschwang,Eberschwang 93,4906 Eberschwang,+43 7753 / 2255,+437753 / 2255 - 99,gemeinde@eberschwang.ooe.gv.at
Eberstalzell,Hauptstraße 15,4653 Eberstalzell,+43 7241 / 5555,+437241 / 5555 - 22,gemeinde@eberstalzell.ooe.gv.at
Edlbach,Edlbach 80,4580 Windischgarsten,+43 7562 / 5225,+437562 / 5225 - 16,gemeinde@edlbach.ooe.gv.at
Edt bei Lambach,Gemeindeplatz 1,4650 Edt bei Lambach,+43 7245 / 28991,+437245 / 28991 - 31,gemeinde@edt.ooe.gv.at
Eferding,Stadtplatz 31,4070 Eferding,+43 7272 / 5555 - 0,+437272 / 5555 - 1150,gemeinde@eferding.at
Eggelsberg,Marktplatz 13,5142 Eggelsberg,+43 7748 / 2255,+437748 / 667173,gemeindeamt@eggelsberg.ooe.gv.at
Eggendorf im Traunkreis,Obere Dorfstraße 4,4622 Eggendorf im Traunkreis,+43 7228 / 7265,+437228 / 726520,gemeinde@eggendorf.ooe.gv.at
Eggerding,Eggerding 42,4773 Eggerding,+43 7767 / 7007 - 0,+437767 / 7007 - 22,gemeinde@eggerding.ooe.gv.at
Eidenberg,Stiftsstraße 2,4201 Eidenberg,+43 7239 / 5055,+43 7239 / 5055 - 11,gemeinde@eidenberg.ooe.gv.at
Eitzing,Kirchenplatz 1,4970 Eitzing,+43 7752 / 83 0 37,+437752 / 83037-20,gemeinde@eitzing.ooe.gv.at
Engelhartszell an der Donau,Marktplatz 61,4090 Engelhartszell,+43 7717 / 8055 - 0,,gemeinde@engelhartszell.ooe.gv.at
Engerwitzdorf,Leopold-Schöffl-Platz 1,4209 Engerwitzdorf,+43 7235 / 66 9 55,+437235 / 66 9 55 - 15,gemeinde@engerwitzdorf.gv.at
Enns,Hauptplatz 11,4470 Enns,+43 7223 / 82181,+437223 / 82181 - 61,office@enns.ooe.gv.at
Enzenkirchen,Hauptstraße 12,4761 Enzenkirchen,+43 7762 / 3215,+437762 / 3680,gemeinde@enzenkirchen.ooe.gv.at
Eschenau im Hausruckkreis,Hasledt 9,4724 Neukirchen am Walde,+43 7278 / 3215,,gemeinde@eschenau.ooe.gv.at
Esternberg,Hauptstraße 33,4092 Esternberg,+43 7714 / 6655,+437714 / 6655 - 9,gemeinde@esternberg.ooe.gv.at
Feldkirchen an der Donau,Hauptstraße 1,4101 Feldkirchen an der Donau,+43 7233 / 7255 - 0,+437233 / 6504,office@feldkirchen-donau.at
Feldkirchen bei Mattighofen,Feldkirchen bei Mattighofen 45,5143 Feldkirchen bei Mattighofen,+43 7748 / 2365,+437748 / 2365 - 20,gemeinde@feldkirchen-mattighofen.ooe.gv.at
Fischlham,Thalheimerstraße 5,4652 Fischlham,+43 7241 / 2203,+437241 / 2203 - 22,gemeinde@fischlham.ooe.gv.at
Fornach,Fornach 2,4892 Fornach,+43 7682 / 5505,+437682 / 5505 - 3,gemeinde@fornach.ooe.gv.at
Fraham,Planbachstraße 2,4070 Fraham,+43 7272 / 2315,+437272 / 2315 - 16,gemeinde@fraham.ooe.gv.at
Frankenburg am Hausruck,Marktplatz 4,4873 Frankenburg am Hausruck,+43 7683 / 5006,+437683 / 5006 - 14,gemeinde@frankenburg.ooe.gv.at
Frankenmarkt,Hauptstraße 85,4890 Frankenmarkt,+43 7684 / 6255,+437684 / 6255 - 21,office@frankenmarkt.at
Franking,Franking 26,5131 Franking,+43 6277 / 8114,+436277 / 8114 - 4,gemeinde@franking.ooe.gv.at
Freinberg,Freinberg 4,4785 Freinberg,+43 7713 / 8102,+437713 / 8102 - 22,gemeinde@freinberg.ooe.gv.at
Freistadt,Hauptplatz 1,4240 Freistadt,+43 7942 / 72 5 06,+437942 / 72 5 06 - 11,post@freistadt.at
Gaflenz,Markt 46,3334 Gaflenz,+43 7353 / 205,+437353 / 205 - 450,gemeinde@gaflenz.ooe.gv.at
Gallneukirchen,Reichenauer Straße 1,4210 Gallneukirchen,+43 7235 / 63155,+437235 / 63155 - 190,stadtgemeinde@gallneukirchen.ooe.gv.at
Gallspach,Hauptplatz 8-9,4713 Gallspach,+43 7248 / 62 3 55 - 0,,gemeinde@gallspach.at
Gampern,Hauptstraße 14,4851 Gampern,+43 59 4851 - 0,+43 59 4851 21,gemeinde@gampern.ooe.gv.at
Garsten,Am Platzl 9,4451 Garsten,+43 7252 / 53307,+437252 / 53 3 07 - 26,gemeinde@garsten.ooe.gv.at
Gaspoltshofen,Hauptstraße 53,4673 Gaspoltshofen,+43 7735 / 6954,+437735 / 6954 - 33,gemeinde@gaspoltshofen.ooe.gv.at
Geboltskirchen,Feld 10,4682 Geboltskirchen,+43 7732 / 3513,+437732 / 3513 - 14,office@geboltskirchen.at
Geiersberg,Geiersberg 23,4922 Geiersberg,+43 7732 / 2151,+437732 / 2151 - 4,gemeinde@geiersberg.ooe.gv.at
Geinberg,Dorfstraße 9,4943 Geinberg,+43 7723 / 8155 - 0,+437723 / 8155 - 7,gemeinde@geinberg.ooe.gv.at
Geretsberg,Geretsberg 21,5132 Geretsberg,+43 7748 / 7155,+437748 / 7155 - 16,gemeinde@geretsberg.ooe.gv.at
Gilgenberg am Weilhart,Gilgenberg am Weilhart 15,5133 Gilgenberg am Weilhart,+43 7728 / 8012,,gemeinde@gilgenberg.ooe.gv.at
Gmunden,Rathausplatz 1,4810 Gmunden,+43 7612 / 794 - 0,+437612 / 794 - 258,stadtamt@gmunden.ooe.gv.at
Goldwörth,Schulstraße 1,4102 Goldwörth,+43 7234 / 83 6 55,+437234 / 83 6 55 - 4,gemeinde@goldwoerth.ooe.gv.at
Gosau,Vordertalstraße 30,4824 Gosau,+43 6136 / 8821 - 0,,gemeinde@gosau.ooe.gv.at
Gramastetten,Marktstraße 17,4201 Gramastetten,+43 7239 / 8155 - 0,+437239 / 8155 - 12,gemeinde@gramastetten.ooe.gv.at
Grein,Rathausgasse 1,4360 Grein,+43 7268 / 255,+437268 / 255 - 20,stadtamt@grein.ooe.gv.at
Grieskirchen,Stadtplatz 9,4710 Grieskirchen,+43 7248 / 62255 - 0,+437248 / 62255 - 39,rathaus@grieskirchen.at
Großraming,Kirchenplatz 1,4463 Großraming,+43 7254 / 7575,+437254 / 7575 - 19,gemeinde@grossraming.ooe.gv.at
Grünau im Almtal,Im Dorf 17,4645 Grünau im Almtal,+43 7616 / 8255 - 0,+437616 / 8255 - 4,gemeinde@gruenau.ooe.gv.at
Grünbach,Marktplatz 1,4264 Grünbach,+43 7942 / 72 81 3 - 0,+437942 / 72 8 13 - 3,gemeinde@gruenbach.ooe.gv.at
Grünburg,Hauptstraße 34,4594 Grünburg,+43 7257 / 7255,+437257 / 7255 - 16,gemeinde@gruenburg.ooe.gv.at
Gschwandt,Hauptstraße 2,4816 Gschwandt,+43 7612 / 626 15 - 0,+437612 / 626 15 - 32,gemeinde@gschwandt.ooe.gv.at
Gunskirchen,Marktplatz 1,4623 Gunskirchen,+43 7246 / 6255,+437246 / 6255 - 830,gemeinde@gunskirchen.ooe.gv.at
Gurten,Hofmark 21,4942 Gurten,+43 7757 / 6055,+437757 / 6055 - 4,gemeinde@gurten.ooe.gv.at
Gutau,St. Oswalder Straße 2,4293 Gutau,+43 7946 / 6255,+437946 / 6755,gemeinde@gutau.ooe.gv.at
Haag am Hausruck,Marktplatz 23,4680 Haag am Hausruck,+43 7732 / 2255,+437732 / 2255 - 20,marktgemeinde@haag-hausruck.ooe.gv.at
Hagenberg im Mühlkreis,Kirchenplatz 5a,4232 Hagenberg im Mühlkreis,+43 7236 / 2318 - 0,+437236 / 2318 - 3,gemeinde@hagenberg.ooe.gv.at
Haibach im Mühlkreis,Marktplatz 2,4204 Reichenau im Mühlkreis,+43 7211 / 8255 - 0,+437211 / 8255-5,gemeindeamt@haibach.at
Haibach ob der Donau,Kirchenplatz 4,4083 Haibach ob der Donau,+43 7279 / 8235,+437279 / 8235 - 16,gemeinde@haibach-donau.ooe.gv.at
Haigermoos,Dorfplatz 1,5124 Haigermoos,+43 6277 / 8103,,gemeinde@haigermoos.ooe.gv.at
Hallstatt,Seestraße 158,4830 Hallstatt,+43 6134 / 8255 - 0,+436134 / 8255-33,gemeinde@hallstatt.ooe.gv.at
Handenberg,Handenberg 11,5144 Handenberg,+43 7748 / 8085 - 0,,gemeinde@handenberg.ooe.gv.at
Hargelsberg,Gemeindeplatz 1,4483 Hargelsberg,+43 7225 / 7255,+437225 / 7255 - 4 od. 6104,gemeinde@hargelsberg.ooe.gv.at
Hartkirchen,Kirchenplatz 1,4081 Hartkirchen,+43 7273 / 8956,+437273 / 8956 - 55,gemeinde@hartkirchen.ooe.gv.at
Haslach an der Mühl,Marktplatz 45,4170 Haslach an der Mühl,+43 7289 / 71 7 50 - 0,,gemeinde@haslach.ooe.gv.at
Heiligenberg,Kirchenplatz 7,4733 Heiligenberg,+43 7277 / 2293 - 0,+437277 / 2293 - 2,gemeinde@heiligenberg.ooe.gv.at
Helfenberg,Leonfeldner Straße 15,4184 Helfenberg,+43 7216 / 7013,+437216 / 7013 - 22,gemeinde@helfenberg.ooe.gv.at
Hellmonsödt,Marktplatz 1,4202 Hellmonsödt,+43 7215 2255,+43 7215 2255 - 37,gemeinde@hellmonsoedt-zwettl.at
Helpfau-Uttendorf,Uttendorf 11b,5261 Uttendorf,+43 7724 / 2016,+437724 / 2016 - 8,gemeinde@helpfau-uttendorf.ooe.gv.at
Herzogsdorf,Kirchenplatz 10,4175 Herzogsdorf,+43 7231 / 2255 - 20,+437231 / 2255 - 40,gemeinde@herzogsdorf.ooe.gv.at
Hinterstoder,Hinterstoder 38,4573 Hinterstoder,+43 7564 / 5255 - 0,+437564 / 5255 - 23,gemeinde@hinterstoder.ooe.gv.at
Hinzenbach,Chr.-Zeller-Weg 1,4070 Hinzenbach,+43 7272 / 2460,+437272 / 2460 - 111,gemeindeamt@hinzenbach.ooe.gv.at
Hirschbach im Mühlkreis,Museumsweg 5,4242 Hirschbach im Mühlkreis,+43 7948 / 8701 - 0,+437948 / 8701 - 8,gemeinde@hirschbach.ooe.gv.at
Hochburg-Ach,Athalerstraße 3,5122 Hochburg-Ach,+43 7727 / 2255,+437727 / 2255 - 20,gemeinde@hochburg-ach.ooe.gv.at
Hofkirchen an der Trattnach,Hauptstraße 30,4716 Hofkirchen an der Trattnach,+43 7734 / 2255,+437734 / 2255 - 55,gemeinde@hofkirchen-trattnach.at
Hofkirchen im Mühlkreis,Markt 8,4142 Hofkirchen im Mühlkreis,+43 7285 / 7011 - 0,+437285 / 7011 - 4,gemeindeamt@hofkirchen.at
Hofkirchen im Traunkreis,Dorfplatz 1,4492 Hofkirchen im Traunkreis,+43 7225 / 7272,+437225 / 7272 - 9,gemeinde@hofkirchen-traunkreis.ooe.gv.at
Hohenzell,Hofmark 11,4921 Hohenzell,+43 7752 / 85 7 15,+437752 / 85 715-20,gemeinde@hohenzell.ooe.gv.at
Höhnhart,Höhnhart 60,5251 Höhnhart,+43 7755 / 5115,+437755 / 5115 - 20,gemeinde@hoehnhart.ooe.gv.at
Holzhausen,Landstraße 2,4615 Holzhausen,+43 7243 / 57 1 55,+437243 / 57 5 55,gemeinde@holzhausen.ooe.gv.at
Hörbich,Schulstraße 2,4132 Lembach im Mühlkreis,+43 7286 / 8255,+437286 / 8255 - 34,gemeinde@hoerbich.ooe.gv.at
Hörsching,Brucknerplatz 7,4063 Hörsching,+43 7221 / 72155,+43 7221 / 72 1 55 - 28,gemeindeamt@hoersching.at
Innerschwand am Mondsee,Wredeplatz 2,5310 Mondsee,+43 6232 / 2265,+436232 / 2265 - 25,gemeinde@innerschwand.ooe.gv.at
Inzersdorf im Kremstal,Dorfplatz 2,4565 Inzersdorf im Kremstal,+43 7582 / 81518,+437582 / 81518 - 20,gemeinde@inzersdorf.ooe.gv.at
Jeging,Jeging 1,5225 Jeging,+43 7744 / 6209,+437744 / 6209 - 19,gemeinde@jeging.ooe.gv.at
Julbach,Schulstraße 4,4162 Julbach,+43 7288 / 8155,,gemeinde@julbach.ooe.gv.at
Kallham,Hauptstraße 1,4720 Kallham,+43 7733 / 7355,+437733 / 7355 - 22,gemeinde@kallham.ooe.gv.at
Kaltenberg,Kaltenberg 2,4273 Kaltenberg,+43 7956 / 7305,+437956 / 7305 - 4,gemeinde@kaltenberg.ooe.gv.at
Katsdorf,Im Hof 1,4223 Katsdorf,+43 7235 / 8815 510,+437235 / 881 55 5,gemeinde@katsdorf.ooe.gv.at
Kefermarkt,Oberer Markt 15,4292 Kefermarkt,+43 7947 / 5910,+437947 / 5910 - 25,gemeinde@kefermarkt.ooe.gv.at
Kematen am Innbach,Innbachtalstraße 45,4633 Kematen am Innbach,+43 7247 / 6655,+437247 / 6655 - 4,gemeinde@kematen-innbach.ooe.gv.at
Kematen an der Krems,Linzerstraße 30,4531 Kematen an der Krems,+43 7228 / 7255,+437228 / 7255 - 85,gemeinde@kematen.at
Kirchberg bei Mattighofen,Kirchberg 27,5232 Kirchberg bei Mattighofen,+43 7747 / 4002,+437747 / 4002 - 4,gemeinde@kirchberg-mattighofen.ooe.gv.at
Kirchberg ob der Donau,Ortsplatz 5,4131 Kirchberg ob der Donau,+43 7282 / 4601,+437282 / 4601 - 5,gemeindeamt@kirchberg-donau.at
Kirchberg-Thening,Ortsplatz 1,4062 Kirchberg-Thening,+43 7221 / 63003,+437221 / 63 0 03 - 30,gemeinde@kirchberg-thening.ooe.gv.at
Kirchdorf am Inn,Kirchdorf a.I. 9,4982 Kirchdorf am Inn,+43 7758 / 2815,+437758 / 2815 - 4,gemeinde@kirchdorf-inn.ooe.gv.at
Kirchdorf an der Krems,Rathausplatz 1,4560 Kirchdorf an der Krems,+43 7582 / 62 2 38,+43 7582 / 622 38 - 51,office@kirchdorf-krems.ooe.gv.at
Kirchham,Kirchham 32,4656 Kirchham,+43 7619 / 2015,+437619 / 2015 - 20,gemeinde@kirchham.at
Kirchheim im Innkreis,Dorfstraße 12,4932 Kirchheim im Innkreis,+43 7755 / 6415,+437755 / 6415-15,gemeinde@kirchheim.ooe.gv.at
Kirchschlag bei Linz,Kirchschlag 44,4202 Kirchschlag bei Linz,+43 7215 / 2285,+437215 / 2285 - 20,gemeinde@kirchschlag.ooe.gv.at
Klaffer am Hochficht,Dorfplatz 1,4163 Klaffer am Hochficht,+43 7288 / 7026 - 0,+437288 / 7026 - 15,gemeinde@klaffer.ooe.gv.at
Klam,Klam 43,4352 Klam bei Grein,+43 7269 / 7255,+437269 / 7255 - 4,gemeinde@klam.at
Klaus an der Pyhrnbahn,Klaus an der Pyhrnbahn 100,4564 Klaus an der Pyhrnbahn,+43 7585 / 255,+437585 / 255 - 90,info@gemeinde-klaus.at
Kleinzell im Mühlkreis,Kleinzell im Mühlkreis 13,4115 Kleinzell im Mühlkreis,+43 7282 / 5355 - 0,+437282 / 5355 - 8,gemeinde@kleinzell.ooe.gv.at
Kollerschlag,Markt 14,4154 Kollerschlag,+43 7287 / 8155,+437287 / 8155 - 15,gemeinde@kollerschlag.at
Königswiesen,Markt 22,4280 Königswiesen,+43 7955 / 6255 - 0,+437955 / 6255 - 32,marktgemeinde@koenigswiesen.at
Kopfing im Innkreis,Hauptstraße 95,4794 Kopfing im Innkreis,+43 7763 / 2205,+437763 / 2205 - 5,gemeinde@kopfing.ooe.gv.at
Kremsmünster,Rathausplatz 1,4550 Kremsmünster,+43 7583 / 5255,+437583 / 7049,gemeinde@kremsmuenster.at
Krenglbach,Krenglbacher Straße 9,4631 Krenglbach,+43 7249 / 46013,+437249 / 46013 - 85,gemeinde@krenglbach.at
Kronstorf,Brucknerplatz 1,4484 Kronstorf,+43 7225 / 8256 - 10,,gemeinde@kronstorf.ooe.gv.at
Laakirchen,Rathausplatz 1,4663 Laakirchen,+43 7613 / 8644 - 0,+437613 / 8644 - 42,stadtamt@laakirchen.ooe.gv.at
Lambach,Marktplatz 8,4650 Lambach,+43 7245 / 28 3 55 - 0,,gemeinde@lambach.ooe.gv.at
Lambrechten,Lambrechten 70,4772 Lambrechten,+43 7765 / 215,+437765 / 215-15,gemeinde@lambrechten.ooe.gv.at
Langenstein,Hauptstraße 98,4222 Langenstein,+43 7237 / 2370,+437237 / 2370 - 85,gemeinde@langenstein.ooe.gv.at
Lasberg,Markt 26,4291 Lasberg,+43 7947 / 7255 - 0,+437947 / 7255- 33,marktgemeinde@lasberg.ooe.gv.at
Laussa,Kirchenplatz 1,4461 Laussa,+43 7255 / 7255,+437255 / 7255 - 85,gemeinde@laussa.ooe.gv.at
Lembach im Mühlkreis,Schulstraße 2,4132 Lembach im Mühlkreis,+43 7286 / 8255,+437286 / 8255 - 34,gemeinde@lembach.ooe.gv.at
Lengau,Salzburger Straße 9,5211 Friedburg,+43 7746 / 2202,+437746 / 2202 - 4,gemeinde@lengau.ooe.gv.at
Lenzing,Hauptplatz 10,4860 Lenzing,+43 7672 / 92955,+437672 / 92 9 55 - 45,marktgemeinde@lenzing.or.at
Leonding,Stadtplatz 1,4060 Leonding,+43 732 / 6878 - 0,+43 732 6878 100995,rathaus@leonding.at
Leopoldschlag,Marktplatz 17,4262 Leopoldschlag,+43 7949 / 8255 - 0,+437949 / 8255 - 14,gemeinde@leopoldschlag.ooe.gv.at
Lichtenau im Mühlkreis,St. Oswald bei Haslach 18,4170 St. Oswald bei Haslach,+43 7289 / 71 5 55 - 0,+437289 / 71 5 55 - 9,gemeinde@lichtenau.ooe.gv.at
Lichtenberg,Am Ortsplatz 1,4040 Lichtenberg,+43 7239 / 6708,+437239 / 6708 - 246,gemeinde@lichtenberg.ooe.gv.at
Liebenau,Liebenau 41,4252 Liebenau,+43 7953 / 8111 - 0,+437953 / 8111 - 30,marktgemeinde@liebenau.at
Linz,Hauptstraße 1-5,4041 Linz,+43 732 / 7070 - 0,+43732 / 737465,info@mag.linz.at
Lochen am See,Ringstraße 14,5221 Lochen am See,+43 7745 / 8255,+437745 / 8255 - 22,gemeinde@lochen.ooe.gv.at
Lohnsburg am Kobernaußerwald,Marktplatz 11,4923 Lohnsburg am Kobernaußerwald,+43 7754 / 4110-0,+437754 / 4110 - 85,gemeinde@lohnsburg.at
Losenstein,Eisenstraße 45,4460 Losenstein,+43 7255 / 6000 - 0,+437255 / 6000 - 20,gemeinde@losenstein.ooe.gv.at
Luftenberg an der Donau,Europaweg 1,4225 Luftenberg an der Donau,+43 7237 / 2231,+437237 / 2231 - 9,marktgemeindeamt@luftenberg.ooe.gv.at
Manning,Manning 31,4903 Manning,+43 7676 / 7275 - 0,+437676 / 7275 - 20,gemeinde@manning.ooe.gv.at
Marchtrenk,Linzer Straße 21,4614 Marchtrenk,+43 7243 / 552 - 0,+437243 / 552 - 300,gemeindeamt@marchtrenk.gv.at
Maria Neustift,Neustift 1,4443 Maria Neustift,+43 7250 / 625,+437250 / 625 - 74,gemeinde@maria-neustift.ooe.gv.at
Maria Schmolln,Maria Schmolln 64,5241 Maria Schmolln,+43 7743 / 2255,+437743 / 2255 - 4,gemeinde@maria-schmolln.ooe.gv.at
Mattighofen,Stadtplatz 1,5230 Mattighofen,+43 7742 / 2255 - 0,+437742 /2255 - 32,office@mattighofen.at
Mauerkirchen,Obermarkt 19,5270 Mauerkirchen,+43 7724 / 2855,+437724 / 2855 - 7,gemeinde@mauerkirchen.ooe.gv.at
Mauthausen,Marktplatz 7,4310 Mauthausen,+43 7238 / 2255 - 0,+437238 / 2255 - 99,gemeinde@mauthausen.at
Mayrhof,Mayrhof 14,4777 Mayrhof,+43 7767 / 215,+437767 / 22 8 35,gemeinde@mayrhof.ooe.gv.at
Meggenhofen,Am Dorfplatz 1,4714 Meggenhofen,+43 7247 / 7110,+437247 / 7110 - 4,gemeinde@meggenhofen.ooe.gv.at
Mehrnbach,Mehrnbach 80,4941 Mehrnbach,+43 7752 / 82 2 03 - 0,,gemeinde@mehrnbach.ooe.gv.at
Mettmach,Marktplatz 1,4931 Mettmach,+43 7755 / 7255,+437755 / 7255 - 20,gemeinde@mettmach.ooe.gv.at
